filename,reason
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00922.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00922.jpg,File already processed
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00911.jpg,File already processed
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00921.jpg,"System Error: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00936.jpg,"System Error: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00924.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00003.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00018.jpg,"System Error: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00916.jpg,"System Error: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00920.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00001.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00952.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00910.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00012.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00004.jpg,"System Error: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00021.jpg,"System Error: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00930.jpg,"System Error: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00008.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00000.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00950.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00020.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00908.jpg,"System Error: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00006.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00010.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00940.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00928.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00912.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00007.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00005.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00016.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00002.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00914.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00926.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00009.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00941.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00022.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00014.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00934.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00935.jpg,"System Error: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00943.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00960.jpg,"System Error: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00042.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00942.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00032.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00030.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00044.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00036.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00944.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00948.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00024.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00034.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00970.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00932.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00927.jpg,"System Error: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00954.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00976.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00026.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00946.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00046.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00048.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00956.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00947.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00949.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00938.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00040.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00038.jpg,"System Error: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00060.jpg,"System Error: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00958.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00058.jpg,Blank Card / No data found
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00983.jpg,"System Error: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00962.jpg,"System Error: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
D:\census\JPG\32931_520305891_0307\32931_520305891_0307-00052.jpg,"System Error: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
