folder,total_files,processed,processed_blank,need_rerun,not_run_at_all,percent_complete
32931_520305891_0304,2231,1125,1101,5,0,99.78%
108319916,2331,1208,1121,2,0,99.91%
32931_520305891_0305,2503,1215,1069,219,0,91.25%
32931_520305891_0306,2371,1097,1028,246,0,89.62%
32931_520305891_0307,2439,1103,1030,306,0,87.45%
108324683,2289,1010,987,292,0,87.24%
32931_520305891_0308,2429,1135,1024,270,0,88.88%
32931_520305891_0309,2343,1098,1034,211,0,90.99%
108329279,2433,1121,1048,264,0,89.15%
32931_520306900_0345,2253,1073,985,195,0,91.34%
32931_520306900_0346,1138,530,516,92,0,91.92%
GRAND TOTAL,24760,11715,10943,2102,0,91.51%
